Generation	Ne	Frequency	WT	HET	HOM	Fit(WT)	Fit(HET)	Fit(HOM)	Replicate
58014	34039	0.273524	17992	13473	2574	1	1	1	21
58015	34039	0.270954	18091	13450	2498	1	1	1	21
58016	34039	0.272217	17991	13564	2484	1	1	1	21
58000	34039	0.160434	23992	9172	875	1	1	1	22
58001	34039	0.162696	23859	9284	896	1	1	1	22
58002	17414	0.184334	11925	4558	931	0.5	0.5	1	22
58003	17457	0.207882	11295	5066	1096	0.5	0.5	1	22
58004	17759	0.245256	10564	5679	1516	0.5	0.5	1	22
58005	18045	0.289526	9649	6343	2053	0.5	0.5	1	22
58006	34039	0.285584	17349	13938	2752	1	1	1	22
58007	34039	0.283014	17449	13913	2677	1	1	1	22
58008	34039	0.279811	17618	13793	2628	1	1	1	22
58009	34039	0.28391	17440	13870	2729	1	1	1	22
58010	34039	0.282382	17575	13704	2760	1	1	1	22
58011	34039	0.287729	17303	13884	2852	1	1	1	22
58012	34039	0.286686	17294	13973	2772	1	1	1	22
58013	34039	0.288948	17223	13961	2855	1	1	1	22
58014	34039	0.286245	17301	13989	2749	1	1	1	22
58015	34039	0.285099	17404	13861	2774	1	1	1	22
58016	34039	0.284292	17437	13850	2752	1	1	1	22
58000	34039	0.160434	23992	9172	875	1	1	1	23
58001	34039	0.160419	23970	9217	852	1	1	1	23
58002	17436	0.181148	11960	4635	841	0.5	0.5	1	23
58003	17542	0.205934	11442	4975	1125	0.5	0.5	1	23
58004	17767	0.239179	10703	5629	1435	0.5	0.5	1	23
58005	18006	0.280073	9882	6162	1962	0.5	0.5	1	23
58006	34039	0.279885	17665	13694	2680	1	1	1	23
58007	34039	0.281177	17665	13606	2768	1	1	1	23
58008	34039	0.283601	17438	13895	2706	1	1	1	23
58009	34039	0.284806	17405	13879	2755	1	1	1	23
58010	34039	0.284967	17422	13834	2783	1	1	1	23
58011	34039	0.283954	17465	13817	2757	1	1	1	23
58012	34039	0.28482	17480	13728	2831	1	1	1	23
58013	34039	0.284791	17400	13890	2749	1	1	1	23
58014	34039	0.286598	17380	13807	2852	1	1	1	23
58015	34039	0.285569	17419	13799	2821	1	1	1	23
58016	34039	0.28391	17486	13778	2775	1	1	1	23
58000	34039	0.160434	23992	9172	875	1	1	1	24
58001	34039	0.162799	23861	9273	905	1	1	1	24
58002	17444	0.180578	12015	4558	871	0.5	0.5	1	24
58003	17904	0.205652	11716	5012	1176	0.5	0.5	1	24
58004	17684	0.236909	10726	5537	1421	0.5	0.5	1	24
58005	17938	0.277651	9863	6189	1886	0.5	0.5	1	24
58006	34039	0.277314	17733	13733	2573	1	1	1	24
58007	34039	0.278724	17686	13731	2622	1	1	1	24
58008	34039	0.27915	17705	13664	2670	1	1	1	24
58009	34039	0.278401	17725	13675	2639	1	1	1	24
58010	34039	0.280384	17660	13670	2709	1	1	1	24
58011	34039	0.279679	17714	13610	2715	1	1	1	24
58012	34039	0.281133	17577	13785	2677	1	1	1	24
58013	34039	0.281589	17614	13680	2745	1	1	1	24
58014	34039	0.284336	17452	13817	2770	1	1	1	24
58015	34039	0.282323	17489	13880	2670	1	1	1	24
58016	34039	0.281985	17559	13763	2717	1	1	1	24
58000	34039	0.160434	23992	9172	875	1	1	1	25
58001	34039	0.160257	24005	9158	876	1	1	1	25
58002	17254	0.182537	11832	4545	877	0.5	0.5	1	25
58003	17617	0.210933	11318	5166	1133	0.5	0.5	1	25
58004	17863	0.245172	10647	5673	1543	0.5	0.5	1	25
58005	18071	0.28424	9810	6249	2012	0.5	0.5	1	25
58006	34039	0.281985	17587	13707	2745	1	1	1	25
58007	34039	0.282074	17592	13691	2756	1	1	1	25
58008	34039	0.283322	17438	13914	2687	1	1	1	25
58009	34039	0.283263	17471	13852	2716	1	1	1	25
58010	34039	0.282632	17504	13829	2706	1	1	1	25
58011	34039	0.283572	17479	13815	2745	1	1	1	25
58012	34039	0.284938	17395	13890	2754	1	1	1	25
58013	34039	0.285305	17389	13877	2773	1	1	1	25
58014	34039	0.286818	17270	14012	2757	1	1	1	25
58015	34039	0.284615	17403	13896	2740	1	1	1	25
58016	34039	0.284512	17407	13895	2737	1	1	1	25
58000	34039	0.160434	23992	9172	875	1	1	1	26
58001	34039	0.160581	24017	9112	910	1	1	1	26
58002	17536	0.184078	11976	4664	896	0.5	0.5	1	26
58003	17550	0.207236	11434	4958	1158	0.5	0.5	1	26
58004	17783	0.241551	10626	5723	1434	0.5	0.5	1	26
58005	18000	0.286583	9734	6215	2051	0.5	0.5	1	26
58006	34039	0.286069	17359	13885	2795	1	1	1	26
58007	34039	0.284203	17436	13858	2745	1	1	1	26
58008	34039	0.283777	17465	13829	2745	1	1	1	26
58009	34039	0.284776	17430	13831	2778	1	1	1	26
58010	34039	0.284629	17473	13755	2811	1	1	1	26
58011	34039	0.285481	17445	13753	2841	1	1	1	26
58012	34039	0.285393	17406	13837	2796	1	1	1	26
