Generation	Ne	Frequency	Replicate
58002	9821	0.162458	28
58003	26826	0.162492	28
58004	30659	0.161682	28
58005	32057	0.160027	28
58006	34039	0.159229	28
58007	34039	0.156938	28
58008	34039	0.157085	28
58009	34039	0.155924	28
58010	34039	0.155381	28
58011	34039	0.154352	28
58012	34039	0.152046	28
58013	34039	0.150989	28
58014	34039	0.152839	28
58015	34039	0.152781	28
58016	34039	0.151782	28
58000	34039	0.160434	29
58001	34039	0.159332	29
58002	9869	0.161769	29
58003	26862	0.162144	29
58004	30676	0.164461	29
58005	32014	0.162804	29
58006	34039	0.162681	29
58007	34039	0.162769	29
58008	34039	0.162725	29
58009	34039	0.163739	29
58010	34039	0.164826	29
58011	34039	0.16393	29
58012	34039	0.165545	29
58013	34039	0.165487	29
58014	34039	0.16484	29
58015	34039	0.167396	29
58016	34039	0.167264	29
58000	34039	0.160434	30
58001	34039	0.161726	30
58002	9906	0.160913	30
58003	26843	0.160153	30
58004	30676	0.15975	30
58005	31953	0.158608	30
58006	34039	0.156673	30
58007	34039	0.15566	30
58008	34039	0.154587	30
58009	34039	0.151885	30
58010	34039	0.151929	30
58011	34039	0.149931	30
58012	34039	0.151415	30
58013	34039	0.151194	30
58014	34039	0.15162	30
58015	34039	0.151473	30
58016	34039	0.153295	30
58000	34039	0.160434	31
58001	34039	0.163518	31
58002	9919	0.162668	31
58003	26901	0.160793	31
58004	30679	0.161022	31
58005	32016	0.160592	31
58006	34039	0.156864	31
58007	34039	0.156791	31
58008	34039	0.154866	31
58009	34039	0.155674	31
58010	34039	0.154631	31
58011	34039	0.153765	31
58012	34039	0.153985	31
58013	34039	0.152384	31
58014	34039	0.152149	31
58015	34039	0.152002	31
58016	34039	0.155381	31
58000	34039	0.160434	32
58001	34039	0.159655	32
58002	9875	0.168658	32
58003	26873	0.168347	32
58004	30652	0.169173	32
58005	32026	0.169222	32
58006	34039	0.166588	32
58007	34039	0.165237	32
58008	34039	0.16863	32
58009	34039	0.168586	32
58010	34039	0.168571	32
58011	34039	0.170172	32
58012	34039	0.169996	32
58013	34039	0.170231	32
58014	34039	0.168953	32
58015	34039	0.168689	32
58016	34039	0.169835	32
58000	34039	0.160434	33
58001	34039	0.160052	33
58002	9884	0.161675	33
58003	26812	0.161122	33
58004	30663	0.162818	33
58005	32014	0.159524	33
58006	34039	0.157422	33
58007	34039	0.155733	33
58008	34039	0.155836	33
58009	34039	0.158201	33
58010	34039	0.156379	33
58011	34039	0.154778	33
58012	34039	0.156218	33
58013	34039	0.156086	33
58014	34039	0.15281	33
58015	34039	0.154661	33
58016	34039	0.154147	33
58000	34039	0.160434	34
58001	34039	0.158304	34
58002	9846	0.157221	34
58003	26942	0.156429	34
58004	30617	0.157004	34
58005	31942	0.155078	34
58006	34039	0.154764	34
58007	34039	0.154176	34
58008	34039	0.151488	34
58009	34039	0.151488	34
58010	34039	0.151268	34
58011	34039	0.151929	34
58012	34039	0.153324	34
58013	34039	0.15328	34
58014	34039	0.154764	34
58015	34039	0.155851	34
58016	34039	0.1561	34
58000	34039	0.160434	35
58001	34039	0.158965	35
58002	9937	0.165644	35
58003	26847	0.167616	35
58004	30647	0.168157	35
58005	32027	0.169014	35
58006	34039	0.171744	35
58007	34039	0.172111	35
58008	34039	0.172567	35
58009	34039	0.171421	35
58010	34039	0.169144	35
58011	34039	0.171876	35
58012	34039	0.172155	35
58013	34039	0.172596	35
58014	34039	0.171318	35
58015	34039	0.171245	35
58016	34039	0.169071	35
58000	34039	0.160434	36
58001	34039	0.160375	36
58002	9838	0.161669	36
58003	26949	0.161546	36
58004	30612	0.16113	36
58005	31990	0.161535	36
58006	34039	0.160742	36
58007	34039	0.160037	36
58008	34039	0.160287	36
58009	34039	0.159097	36
58010	34039	0.159435	36
58011	34039	0.15801	36
58012	34039	0.156805	36
58013	34039	0.154896	36
58014	34039	0.154514	36
58015	34039	0.158274	36
58016	34039	0.161021	36
58000	34039	0.160434	37
58001	34039	0.15964	37
58002	9749	0.163299	37
58003	26917	0.163261	37
58004	30682	0.161756	37
58005	32011	0.163787	37
58006	34039	0.164194	37
58007	34039	0.161844	37
58008	34039	0.163342	37
58009	34039	0.162799	37
58010	34039	0.163151	37
58011	34039	0.161756	37
58012	34039	0.162549	37
58013	34039	0.162666	37
58014	34039	0.160008	37
58015	34039	0.160551	37
58016	34039	0.160287	37
58000	34039	0.160434	38
58001	34039	0.16014	38
58002	9749	0.160016	38
58003	26951	0.159104	38
58004	30635	0.160748	38
58005	31923	0.161749	38
58006	34039	0.161932	38
58007	34039	0.162373	38
58008	34039	0.161242	38
58009	34039	0.161227	38
58010	34039	0.161667	38
58011	34039	0.162196	38
58012	34039	0.160022	38
58013	34039	0.161594	38
58014	34039	0.159817	38
58015	34039	0.161432	38
58016	34039	0.162475	38
58000	34039	0.160434	39
58001	34039	0.156262	39
58002	10018	0.158016	39
58003	26968	0.157019	39
58004	30648	0.155361	39
58005	31975	0.157013	39
58006	34039	0.157114	39
58007	34039	0.15779	39
58008	34039	0.155909	39
58009	34039	0.156761	39
58010	34039	0.156732	39
58011	34039	0.159009	39
58012	34039	0.156306	39
58013	34039	0.157364	39
58014	34039	0.158553	39
58015	34039	0.158788	39
58016	34039	0.160331	39
58000	34039	0.160434	40
58001	34039	0.160551	40
58002	9940	0.15835	40
58003	26935	0.156581	40
58004	30682	0.157764	40
58005	32045	0.158902	40
58006	34039	0.158686	40
58007	34039	0.158083	40
58008	34039	0.158289	40
58009	34039	0.159023	40
58010	34039	0.157246	40
58011	34039	0.157863	40
58012	34039	0.158612	40
58013	34039	0.158906	40
58014	34039	0.157628	40
58015	34039	0.156585	40
58016	34039	0.156453	40
58000	34039	0.160434	41
58001	34039	0.160243	41
58002	9897	0.161362	41
58003	26939	0.160399	41
58004	30726	0.160076	41
58005	31939	0.160478	41
58006	34039	0.158421	41
58007	34039	0.159743	41
58008	34039	0.157599	41
58009	34039	0.156394	41
58010	34039	0.154999	41
58011	34039	0.153544	41
58012	34039	0.154925	41
58013	34039	0.152854	41
58014	34039	0.153221	41
58015	34039	0.153398	41
58016	34039	0.153324	41
58000	34039	0.160434	42
58001	34039	0.159361	42
58002	9758	0.162892	42
58003	26868	0.164303	42
58004	30580	0.163882	42
58005	32023	0.162118	42
58006	34039	0.161653	42
58007	34039	0.160492	42
58008	34039	0.161315	42
58009	34039	0.159582	42
58010	34039	0.162123	42
58011	34039	0.161844	42
58012	34039	0.161682	42
58013	34039	0.163783	42
58014	34039	0.163944	42
58015	34039	0.162461	42
58016	34039	0.160786	42
58000	34039	0.160434	43
58001	34039	0.163386	43
58002	9860	0.159533	43
58003	26948	0.155948	43
58004	30550	0.156858	43
58005	32024	0.160036	43
58006	34039	0.158583	43
58007	34039	0.158965	43
58008	34039	0.159567	43
58009	34039	0.158774	43
58010	34039	0.161344	43
58011	34039	0.164591	43
58012	34039	0.166162	43
58013	34039	0.166838	43
58014	34039	0.169041	43
58015	34039	0.168189	43
58016	34039	0.167279	43
58000	34039	0.160434	44
58001	34039	0.159964	44
58002	9980	0.155361	44
58003	26894	0.155146	44
58004	30688	0.15524	44
58005	32010	0.15428	44
58006	34039	0.155116	44
58007	34039	0.155337	44
58008	34039	0.153515	44
58009	34039	0.155498	44
58010	34039	0.157349	44
58011	34039	0.155777	44
58012	34039	0.156908	44
58013	34039	0.158921	44
58014	34039	0.158421	44
58015	34039	0.157716	44
58016	34039	0.157217	44
58000	34039	0.160434	45
58001	34039	0.160625	45
58002	9693	0.161457	45
58003	27013	0.159627	45
58004	30625	0.159004	45
58005	31992	0.158133	45
58006	34039	0.158465	45
58007	34039	0.160771	45
58008	34039	0.161991	45
58009	34039	0.161462	45
58010	34039	0.158098	45
58011	34039	0.158157	45
58012	34039	0.156835	45
58013	34039	0.155851	45
58014	34039	0.156761	45
58015	34039	0.154529	45
58016	34039	0.155601	45
58000	34039	0.160434	46
58001	34039	0.160492	46
58002	9773	0.163614	46
58003	26826	0.163983	46
58004	30718	0.163113	46
58005	32032	0.161542	46
58006	34039	0.163489	46
58007	34039	0.162505	46
58008	34039	0.162431	46
58009	34039	0.161932	46
58010	34039	0.162402	46
58011	34039	0.161432	46
58012	34039	0.160331	46
58013	34039	0.160639	46
58014	34039	0.159068	46
58015	34039	0.158656	46
58016	34039	0.156585	46
58000	34039	0.160434	47
58001	34039	0.160654	47
58002	9899	0.164461	47
58003	26922	0.163305	47
58004	30570	0.163445	47
58005	32035	0.164492	47
58006	34039	0.163783	47
58007	34039	0.16603	47
58008	34039	0.167984	47
58009	34039	0.168659	47
58010	34039	0.168498	47
58011	34039	0.165178	47
58012	34039	0.163768	47
58013	34039	0.162564	47
58014	34039	0.161227	47
58015	34039	0.159185	47
58016	34039	0.160199	47
58000	34039	0.160434	48
58001	34039	0.159949	48
58002	9847	0.160252	48
58003	26893	0.156937	48
58004	30764	0.155214	48
58005	32031	0.1551	48
58006	34039	0.155307	48
58007	34039	0.154426	48
58008	34039	0.153882	48
58009	34039	0.156306	48
58010	34039	0.158039	48
58011	34039	0.158774	48
58012	34039	0.159258	48
58013	34039	0.160066	48
58014	34039	0.159068	48
58015	34039	0.158524	48
58016	34039	0.156482	48
58000	34039	0.160434	49
58001	34039	0.161462	49
58002	9992	0.161229	49
58003	26849	0.162427	49
58004	30714	0.161929	49
58005	32019	0.163793	49
58006	34039	0.164752	49
58007	34039	0.163827	49
58008	34039	0.167749	49
58009	34039	0.16935	49
58010	34039	0.16794	49
58011	34039	0.166309	49
58012	34039	0.166662	49
58013	34039	0.16932	49
58014	34039	0.170863	49
58015	34039	0.174138	49
58016	34039	0.173668	49
58000	34039	0.160434	50
58001	34039	0.158788	50
58002	9916	0.158985	50
58003	27101	0.158075	50
58004	30708	0.158167	50
58005	32025	0.158002	50
58006	34039	0.156497	50
58007	34039	0.155924	50
58008	34039	0.155601	50
58009	34039	0.154822	50
58010	34039	0.155733	50
58011	34039	0.156409	50
58012	34039	0.15516	50
58013	34039	0.158304	50
58014	34039	0.159508	50
58015	34039	0.159229	50
58016	34039	0.160434	50
58000	34039	0.160434	51
58001	34039	0.161065	51
58002	9930	0.159517	51
58003	26842	0.158129	51
58004	30653	0.157505	51
58005	32060	0.156893	51
58006	34039	0.160434	51
58007	34039	0.160889	51
58008	34039	0.162182	51
58009	34039	0.161418	51
58010	34039	0.160654	51
58011	34039	0.162769	51
58012	34039	0.162079	51
58013	34039	0.163636	51
58014	34039	0.164899	51
58015	34039	0.16321	51
58016	34039	0.161712	51
58000	34039	0.160434	52
58001	34039	0.160052	52
58002	9943	0.158151	52
58003	26836	0.154475	52
58004	30623	0.153545	52
58005	31935	0.156302	52
58006	34039	0.154808	52
58007	34039	0.153324	52
58008	34039	0.152663	52
58009	34039	0.151826	52
58010	34039	0.151253	52
58011	34039	0.151341	52
58012	34039	0.151282	52
58013	34039	0.151796	52
58014	34039	0.153677	52
58015	34039	0.154235	52
58016	34039	0.15516	52
58000	34039	0.160434	53
58001	34039	0.159303	53
58002	9846	0.159811	53
58003	26938	0.158048	53
58004	30695	0.157794	53
58005	32043	0.158365	53
58006	34039	0.158671	53
58007	34039	0.158201	53
58008	34039	0.157731	53
58009	34039	0.155953	53
58010	34039	0.155307	53
58011	34039	0.155704	53
58012	34039	0.155204	53
58013	34039	0.154411	53
58014	34039	0.154396	53
58015	34039	0.152913	53
58016	34039	0.155102	53
58000	34039	0.160434	54
58001	34039	0.161242	54
58002	9905	0.159717	54
58003	27122	0.159243	54
58004	30553	0.160983	54
58005	32041	0.160466	54
58006	34039	0.161242	54
58007	34039	0.162813	54
58008	34039	0.161653	54
58009	34039	0.158597	54
58010	34039	0.158524	54
58011	34039	0.156159	54
58012	34039	0.155821	54
58013	34039	0.154191	54
58014	34039	0.15613	54
58015	34039	0.157408	54
58016	34039	0.158039	54
58000	34039	0.160434	55
58001	34039	0.160257	55
58002	9939	0.162189	55
58003	27025	0.162461	55
58004	30594	0.163529	55
58005	31975	0.162596	55
58006	34039	0.16014	55
58007	34039	0.158157	55
58008	34039	0.158539	55
58009	34039	0.159787	55
58010	34039	0.161051	55
58011	34039	0.159949	55
58012	34039	0.15826	55
58013	34039	0.159567	55
58014	34039	0.160977	55
58015	34039	0.159743	55
58016	34039	0.160434	55
58000	34039	0.160434	56
58001	34039	0.162608	56
58002	9919	0.162264	56
58003	26868	0.163224	56
58004	30653	0.162953	56
58005	32032	0.164632	56
58006	34039	0.16556	56
58007	34039	0.163783	56
58008	34039	0.163019	56
58009	34039	0.162534	56
58010	34039	0.16249	56
58011	34039	0.162593	56
58012	34039	0.158862	56
58013	34039	0.16039	56
58014	34039	0.158877	56
58015	34039	0.16321	56
58016	34039	0.165046	56
58000	34039	0.160434	57
58001	34039	0.160669	57
58002	9765	0.162366	57
58003	26964	0.161994	57
58004	30706	0.161337	57
58005	32001	0.16337	57
58006	34039	0.160698	57
58007	34039	0.161286	57
58008	34039	0.160771	57
58009	34039	0.161271	57
58010	34039	0.159112	57
58011	34039	0.159949	57
58012	34039	0.159684	57
58013	34039	0.160904	57
58014	34039	0.160008	57
58015	34039	0.161565	57
58016	34039	0.162093	57
58000	34039	0.160434	58
58001	34039	0.161609	58
58002	9808	0.157983	58
58003	26912	0.155507	58
58004	30551	0.155069	58
