Generation	Ne	Frequency	WT	HET	HOM	Replicate
58000	34039	0.160434	23992	9172	875	25
58001	34039	0.163313	23782	9396	861	25
58002	17254	0.182335	11535	5146	573	25
58003	17617	0.208236	11023	5851	743	25
58004	17863	0.240301	10330	6481	1052	25
58005	18071	0.281888	9308	7338	1425	25
58006	34039	0.280942	17565	13822	2652	25
58007	34039	0.279709	17658	13720	2661	25
58008	34039	0.277931	17712	13733	2594	25
58009	34039	0.277094	17768	13678	2593	25
58010	34039	0.276624	17846	13554	2639	25
58011	34039	0.27348	17949	13562	2528	25
58012	34039	0.273334	17992	13486	2561	25
58013	34039	0.272467	17974	13581	2484	25
58014	34039	0.272952	17950	13596	2493	25
58015	34039	0.274303	17902	13600	2537	25
58016	34039	0.272056	18033	13491	2515	25
58000	34039	0.160434	23992	9172	875	26
58001	34039	0.159126	24041	9163	835	26
58002	17536	0.181883	11755	5183	598	26
58003	17550	0.210085	10973	5780	797	26
58004	17783	0.245094	10124	6601	1058	26
58005	18000	0.288722	9083	7440	1477	26
58006	34039	0.287993	17343	13786	2910	26
58007	34039	0.288551	17245	13944	2850	26
58008	34039	0.287112	17302	13928	2809	26
58009	34039	0.287597	17280	13939	2820	26
58010	34039	0.287259	17273	13976	2790	26
58011	34039	0.289506	17150	14069	2820	26
58012	34039	0.292635	17017	14122	2900	26
58013	34039	0.288023	17276	13918	2845	26
58014	34039	0.290446	17184	13937	2918	26
58015	34039	0.290094	17133	14063	2843	26
58016	34039	0.293046	16971	14186	2882	26
58000	34039	0.160434	23992	9172	875	27
58001	34039	0.161139	23929	9250	860	27
58002	17373	0.182841	11600	5193	580	27
58003	17770	0.206162	11187	5839	744	27
58004	17809	0.242546	10209	6561	1039	27
58005	17887	0.28476	9127	7333	1427	27
58006	34039	0.285614	17412	13810	2817	27
58007	34039	0.287788	17243	14000	2796	27
58008	34039	0.284835	17393	13901	2745	27
58009	34039	0.286656	17317	13929	2793	27
58010	34039	0.284791	17457	13776	2806	27
58011	34039	0.288566	17168	14097	2774	27
58012	34039	0.290064	17168	13995	2876	27
58013	34039	0.289844	17135	14076	2828	27
58014	34039	0.289903	17234	13874	2931	27
58015	34039	0.288684	17300	13825	2914	27
58016	34039	0.287934	17282	13912	2845	27
58000	34039	0.160434	23992	9172	875	28
58001	34039	0.160977	23988	9143	908	28
58002	17460	0.182675	11665	5211	584	28
58003	17645	0.211703	11008	5803	834	28
58004	17719	0.248406	10005	6625	1089	28
58005	17911	0.294819	8881	7499	1531	28
58006	34039	0.292811	17025	14094	2920	28
58007	34039	0.294794	16947	14115	2977	28
58008	34039	0.300126	16689	14268	3082	28
